Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Shoe,3,85,-1.58%,9.68%,15.68%,18.94%,0.87,0.9,9.65%,31.72%,6.44%,11.00%,9.11%,1.88,2.27,17.31,23.14,4.85,37.92,20.00%,1.55%,-0.48%,-16.08%,18.73%,40.97%,40.97%,9.68%
Software (Entertainment),3,317,9.02%,24.40%,15.96%,16.76%,1.36,1.36,12.58%,43.82%,6.44%,4.78%,12.21%,0.7,5.6,17.54,22.71,5.14,235.21,1.24%,10.66%,6.94%,40.57%,20.90%,2.74%,2.74%,25.40%
Software (Internet),#N/A,151,12.34%,-0.08%,1.31%,19.52%,1.3,1.36,12.61%,46.98%,6.44%,9.98%,11.83%,0.88,6.01,20.44,NA,7.97,62.97,5.21%,5.95%,3.35%,NA,-10.00%,0.37%,0.37%,1.49%
Software (System & Application),#N/A,1616,14.32%,20.25%,18.34%,18.84%,1.29,1.3,12.21%,43.59%,6.44%,5.85%,11.77%,0.93,9.2,28.48,41.07,9.15,96.43,13.35%,7.23%,5.89%,47.63%,16.96%,32.89%,32.89%,21.28%
Steel,5,718,8.99%,7.19%,9.05%,20.41%,1.01,1.17,11.35%,32.68%,6.44%,29.28%,9.43%,1.46,0.82,6.9,10.9,1.14,42.98,14.64%,6.05%,3.84%,53.66%,0.01%,50.76%,50.76%,7.22%
Telecom (Wireless),5,98,5.89%,14.60%,8.31%,22.35%,0.65,0.9,9.63%,29.27%,6.44%,40.04%,7.70%,0.71,2.25,7.37,15.64,1.54,33.14,-13.70%,15.23%,1.56%,30.51%,8.18%,73.58%,73.58%,14.33%
Telecom. Equipment,10,453,4.60%,11.00%,13.62%,14.78%,1.17,1.19,11.48%,36.12%,6.44%,11.42%,10.72%,1.26,2.32,14.28,19.41,3.46,120.32,24.68%,3.16%,2.56%,53.62%,12.94%,53.28%,53.28%,11.67%
Telecom. Services,5,288,8.40%,15.47%,9.50%,21.85%,0.54,0.85,9.32%,30.13%,6.44%,45.67%,7.26%,0.7,2.16,6.88,13.87,1.38,41.99,-0.23%,14.74%,-1.41%,-3.28%,7.80%,89.73%,89.73%,15.57%
Tobacco,5,56,17.28%,33.76%,23.17%,22.44%,0.55,0.67,8.15%,31.22%,6.44%,24.86%,7.32%,0.83,3.47,9.33,10.23,3.17,32.35,16.06%,2.79%,12.23%,54.79%,28.43%,71.67%,71.67%,33.88%
Transportation,5,443,6.53%,6.44%,8.93%,22.91%,0.75,0.94,9.91%,30.38%,6.44%,32.99%,8.23%,1.63,1.27,10.43,18.78,2.18,28.2,3.63%,5.30%,1.77%,28.43%,13.11%,50.45%,50.45%,6.50%
Transportation (Railroads),5,49,-0.31%,21.50%,6.91%,24.51%,0.5,0.63,7.91%,19.26%,5.85%,29.64%,6.86%,0.42,4.33,13.31,19.99,2.36,54.74,5.75%,15.78%,9.37%,60.00%,11.85%,40.05%,40.05%,21.54%
Trucking,5,106,3.02%,8.60%,11.60%,25.77%,0.87,1.01,10.38%,29.12%,6.44%,22.29%,9.14%,1.66,1.59,9.98,17.98,2.86,27.98,6.89%,11.44%,7.09%,105.34%,12.02%,20.67%,20.67%,8.76%
Utility (General),10,50,7.82%,12.26%,8.32%,20.20%,0.45,0.68,8.26%,18.49%,5.85%,44.49%,6.53%,0.81,1.88,9.86,15.29,1.62,20.36,-0.60%,14.21%,7.75%,78.42%,10.61%,66.70%,66.70%,12.24%
Utility (Water),10,102,6.43%,23.27%,6.23%,19.79%,0.43,0.67,8.18%,23.64%,5.85%,46.44%,6.41%,0.31,4.59,12.67,19.57,1.48,26.69,7.35%,22.67%,11.57%,96.25%,0.86%,83.29%,46.71%,23.25%
Total Market,,47698,9.24%,9.97%,6.94%,21.78%,0.79,1.01,10.37%,34.38%,6.44%,38.43%,8.23%,0.79,2.32,12.64,18.94,2.09,69.35,-117.42%,5.92%,3.24%,50.13%,0.86%,46.71%,46.71%,10.08%
Total Market (without financials),,42566,9.01%,10.40%,11.07%,22.91%,0.91,1.04,10.55%,35.18%,6.44%,23.66%,9.19%,1.2,1.92,11.56,17.59,2.48,71.8,11.57%,6.38%,3.51%,51.93%,0.63%,52.04%,52.04%,10.52%
