Industry Name,Amortization Period,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Telecom (Wireless),5,13,9.30%,16.79%,6.55%,24.65%,0.75,1.09,8.88%,60.31%,5.35%,39.08%,6.98%,0.48,3.51,9.01,23.51,2.53,67.85,6.27%,15.31%,-0.30%,55.10%,9.74%,11.05%,11.05%,14.95%
Telecom. Equipment,10,66,9.62%,19.58%,28.18%,16.91%,1.05,1.08,8.85%,46.62%,5.09%,10.25%,8.33%,1.45,3.61,13.98,17.65,5.14,70.49,23.09%,2.78%,3.98%,36.67%,24.55%,46.08%,46.08%,20.71%
Telecom. Services,5,42,13.17%,20.86%,11.80%,21.77%,0.41,0.78,7.49%,50.42%,5.35%,55.54%,5.56%,0.6,2.36,6.18,11.21,1.3,77.1,-3.22%,16.72%,2.43%,20.12%,-0.34%,0.16%,0.16%,20.98%
Tobacco,5,16,34.97%,40.82%,80.36%,21.14%,0.99,1.22,9.51%,48.00%,5.09%,25.87%,8.03%,2.18,4.8,10.84,11.67,NA,17.75,15.30%,2.71%,33.43%,117.64%,NA,87.98%,87.98%,41.00%
Transportation,5,36,15.36%,7.95%,15.48%,21.19%,1.05,1.26,9.67%,53.12%,5.35%,25.14%,8.25%,2.07,1.68,12.01,20.89,5.38,23.43,6.45%,8.70%,5.61%,93.44%,28.27%,40.51%,40.51%,8.00%
Transportation (Railroads),5,4,2.49%,35.11%,14.26%,22.98%,0.86,1.02,8.56%,22.28%,4.50%,21.14%,7.46%,0.49,6.63,14.32,18.97,6.91,22.29,2.26%,15.70%,5.60%,22.18%,31.68%,43.52%,43.52%,34.95%
Trucking,5,22,6.19%,8.49%,12.75%,25.56%,1.03,1.15,9.16%,28.33%,5.09%,16.63%,8.27%,1.84,1.81,10.57,20.59,3.58,36.08,6.75%,14.93%,9.10%,121.78%,12.97%,17.36%,17.36%,8.69%
Utility (General),10,14,4.34%,21.81%,6.47%,16.02%,0.36,0.58,6.55%,14.93%,4.50%,45.90%,5.09%,0.35,4.13,11.7,19.08,1.65,17.48,13.37%,38.61%,25.91%,150.53%,11.15%,58.88%,58.88%,21.64%
Utility (Water),10,13,10.85%,30.79%,6.80%,14.92%,0.52,0.71,7.16%,28.20%,5.09%,33.73%,6.03%,0.25,7.9,16.86,25.64,2.3,34.88,11.35%,53.91%,40.18%,149.51%,15.98%,60.59%,39.24%,30.68%
Grand Total,,6481,12.04%,11.45%,8.41%,19.23%,0.79,1,8.48%,42.03%,5.09%,31.70%,7.00%,0.79,3.23,16.81,26.14,3.78,52.28,-26.22%,5.80%,3.34%,46.88%,15.98%,39.24%,39.24%,11.63%
Total Market (without financials),,5214,12.71%,12.03%,14.67%,19.41%,0.97,1.1,8.93%,47.00%,5.09%,18.43%,7.99%,1.28,2.73,14.15,22.06,4.47,52.87,8.67%,6.25%,3.71%,44.37%,16.59%,41.27%,41.27%,12.23%
